Ts,ActP
1645449682,107
1645449683,110
1645449684,6
1645449685,3
1645449686,3
1645449687,3
1645449688,3
1645449689,3
1645449690,3
1645449691,3
1645449692,3
1645449693,3
1645449693,3
1645449694,3
1645449695,3
1645449696,52
1645449697,135
1645449699,114
1645449699,114
1645449700,112
1645449701,117
1645449702,117
1645449703,119
1645449704,4
1645449705,3
1645449706,3
1645449708,3
1645449708,3
1645449709,3
1645449710,3
1645449711,3
1645449712,3
1645449713,3
1645449714,3
1645449715,3
1645449716,140
1645449717,126
1645449718,110
1645449719,111
1645449720,107
1645449721,105
1645449722,106
1645449723,106
1645449724,3
1645449725,3
1645449726,3
1645449727,3
1645449728,3
1645449729,3
1645449730,3
1645449731,3
1645449732,3
1645449733,3
1645449734,3
1645449735,3
1645449736,136
1645449737,125
1645449738,116
1645449739,114
1645449740,112
1645449741,110
1645449742,116
1645449743,115
1645449744,3
1645449745,3
1645449746,3
1645449747,3
1645449748,3
1645449749,3
1645449750,3
1645449751,3
1645449752,3
1645449753,3
1645449754,3
1645449755,3
1645449756,97
1645449757,112
1645449758,108
1645449759,110
1645449760,108
1645449761,108
1645449762,109
1645449763,76
1645449764,3
1645449765,3
1645449766,3
1645449767,3
1645449768,3
1645449769,3
1645449770,3
1645449771,3
1645449772,3
1645449773,3
1645449774,3
1645449775,3
1645449776,104
1645449777,118
1645449778,116
1645449779,114
1645449780,117
1645449781,117
1645449782,116
1645449783,33
1645449784,3
1645449785,3
1645449786,3
1645449787,3
1645449788,3
1645449789,3
1645449790,3
1645449791,3
1645449792,3
1645449793,3
1645449794,3
1645449795,10
1645449796,126
1645449797,114
1645449798,106
1645449799,107
1645449800,105
1645449801,108
1645449802,111
1645449803,6
1645449804,3
1645449805,3
1645449806,3
1645449807,3
1645449808,3
1645449809,3
1645449810,3
1645449811,3
1645449813,3
1645449813,3
1645449815,3
1645449816,50
1645449817,140
1645449818,118
1645449819,113
1645449820,117
1645449821,115
1645449822,116
1645449823,117
1645449824,4
1645449825,3
1645449826,3
1645449827,3
1645449828,3
1645449829,3
1645449830,3
1645449830,3
1645449831,3
1645449832,3
1645449833,3
1645449834,3
1645449835,3
1645449836,140
1645449837,122
1645449838,114
1645449839,111
1645449840,105
1645449841,106
1645449842,109
1645449843,104
1645449844,3
1645449845,3
1645449846,3
1645449847,3
1645449848,3
1645449849,3
1645449850,3
1645449851,3
1645449852,3
1645449853,3
1645449854,3
1645449855,3
1645449856,134
1645449857,125
1645449858,120
1645449859,111
1645449860,113
1645449861,114
1645449862,111
1645449863,118
1645449864,3
1645449865,3
1645449866,3
1645449867,3
1645449868,3
1645449869,3
1645449870,3
1645449871,3
1645449872,3
1645449873,3
1645449874,3
1645449875,3
1645449876,92
1645449877,111
1645449878,108
1645449879,108
1645449880,110
1645449881,104
1645449882,105
1645449883,72
1645449884,3
1645449885,3
1645449886,3
1645449887,3
1645449888,3
1645449889,3
1645449890,3
1645449891,3
1645449892,3
1645449893,3
1645449897,114
1645449897,114
1645449897,114
1645449901,118
1645449901,118
1645449901,116
1645449903,31
1645449903,31
1645449903,31
1645449903,116
1645449904,3
1645449905,3
1645449906,3
1645449907,3
1645449909,3
1645449910,3
1645449910,3
1645449911,3
1645449912,3
1645449914,3
1645449915,3
1645449916,3
1645449917,122
1645449918,112
1645449918,109
1645449920,110
1645449920,105
1645449921,110
1645449922,106
1645449923,6
1645449925,3
1645449926,3
1645449927,3
1645449928,3
1645449929,3
1645449930,3
1645449931,3
1645449932,3
1645449933,3
1645449934,3
1645449935,3
1645449936,3
1645449937,140
1645449938,118
1645449939,113
1645449939,114
1645449941,117
1645449941,115
1645449942,114
1645449944,4
1645449945,3
1645449946,3
1645449947,3
1645449948,3
1645449949,3
1645449950,3
1645449951,3
1645449952,3
1645449953,3
1645449954,3
1645449955,3
1645449956,9
1645449957,125
1645449958,109
1645449959,113
1645449960,108
1645449961,105
1645449962,108
1645449963,108
1645449964,3
1645449965,3
1645449966,3
1645449967,3
1645449968,3
1645449969,3
1645449969,3
1645449970,3
1645449971,3
1645449972,3
1645449973,3
1645449974,3
1645449975,3
1645449976,53
1645449977,140
1645449978,119
1645449979,114
1645449980,112
1645449981,117
1645449982,114
1645449983,116
1645449984,3
1645449985,3
1645449986,3
1645449987,3
1645449988,3
1645449989,3
1645449990,3
1645449991,3
1645449992,3
1645449993,3
1645449994,3
1645449995,3
1645449996,119
1645449997,124
1645449998,108
1645449999,111
1645450000,111
1645450001,105
1645450002,105
